id,detector,report_dt,reported_by,report_location,status,fault_type,submit_notes,resolved_by,resolve_dt,resolve_notes
45,668,2026-06-01,WALLY,89,OP,DE,POST Nufarm Incident service,,,"Repaired Unit, cleaned out pump and replaced filters. Cleaned lamp and PID sensor. Manually spanned, all tests passed"
46,670,2026-05-26,WALLY,89,CL,DE,Post NUFARM incident service,,2026-05-27,"Serviced Unit, Replaced Filter and Orings, Cleaned lamp and pid sensor, all tests OK"
43,618,2026-05-19,N.Perkins,89,CL,DE,"Nufarm Incident, Detector saturated",Wally,2026-05-20,"Repaired Unit, cleaned out pump and replaced hoses. Cleaned lamp and PID sensor. Manually spanned, all tests passed."
44,623,2026-05-19,N.Perkins,89,OP,DE,"Pump fault, PID fault",Wally,2026-05-20,"Repaired Unit, cleaned out pump and replaced hoses. Cleaned lamp and PID sensor. Manually spanned, all tests passed"
47,607,2026-05-18,WALLY,89,CL,DE,Post NUFARM incident service,Wally,2026-05-20,"Serviced Unit, Replaced Filter and Orings, Cleaned lamp and pid sensor, all tests OK"
48,610,2026-05-18,WALLY,89,CL,DE,Post NUFARM incident service,Wally,2026-05-19,"Serviced Unit, Replaced Filter and Orings, Cleaned pump, all tests OK"
40,583,2026-05-11,??,19,CL,BF,failed bump,Wally,2026-05-12,No fault found
39,414,2026-04-28,??,9,CL,SF,CO failed,Wally,2026-05-04,Replaced Sensor and Calibrated
38,417,2026-04-27,??,9,CL,BF,failed bump CO,Wally,2026-05-04,"Calibrated, All Ok"
37,675,2026-04-20,Sonja,90,CL,BF,O2 high reading,Wally,2026-04-20,"Inspected unit, re-calibrated. no fault found"
42,626,2026-04-17,,33,CL,DC,Probe quick release failed,Wally,2026-05-13,"Replaced quickrelease, Serviced Unit, Checked config, Cleaned pump, Replaced filters, All ok"
41,631,2026-04-17,??,89,CL,DE,PUMP WOULD NOT STALL,Wally,2026-04-20,"Serviced Unit, Checked config, Cleaned pump, Replaced filters, All ok"
33,203,2026-04-13,QFF HAMPSON,13,CL,BF,FAILED BUMP X 2 HCN,Wally,2026-04-13,"Serviced Unit, Checked Config, Checked sensors, Calibrated, All Ok"
34,304,2026-04-13,??,7,CL,BF,failed bump x 2 hcn,Wally,2026-04-13,"Serviced Unit, Checked Config, Checked sensors, Calibrated, All Ok"
32,322,2026-04-13,DANIEL,111,CL,BF,FAILED BUMP,Wally,2026-04-13,"Serviced Unit, Checked Config, Checked sensors, Calibrated, All Ok"
31,406,2026-04-13,??,111,CL,BF,FAILED BUMP X 2,Wally,2026-04-13,"Serviced Unit, Checked Config, Checked sensors, Calibrated, All Ok"
36,73,2026-04-10,??,104,CL,BF,FAILED BUMP X 2 HCN,Wally,2026-04-13,"Serviced Unit, Checked Config, Checked sensors, Calibrated, All Ok"
25,33,2026-04-08,??,6,CL,WS,WONT TURN ON,Wally,2026-04-08,REPLCED AGED BATTERY
